LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,
ID3043,3043,0,-1.0,24.181609873488902,127.05128069079474,0.0,2760.0,184,5.0,1,,150.55488255281364,149.0,119.0,187.0,1019106.0,10.648837195616148,59.441276407149104,58.0,19.0,141.0,402358.0,9.84709419532398,0.0014310523353862868,0.04040704725909636,0.026308252810306767,0.3094740335588186
ID3033,3033,0,-1.0,25.79736386538376,152.095467565165,0.0,465.0,31,5.0,1,,166.5093810016205,167.0,142.0,188.0,1127102.0,5.927527918130161,60.97281725513416,60.0,26.0,141.0,412725.0,9.199546113589598,0.006724127021006795,0.3752498485863573,0.025159455857924395,0.3253191877219809
ID3036,3036,0,-1.0,26.33594852934871,130.01349634260197,0.0,1995.0,133,5.0,1,,161.51632442015196,162.0,129.0,192.0,1093304.0,9.075468699444489,63.66184074457205,61.0,37.0,154.0,430927.0,13.517101032060141,0.01664949286421781,0.5829175308284678,0.05491922997419456,0.49037786428960883
ID3039,3039,0,-1.0,20.95010188969919,127.5898653547597,0.0,2760.0,184,5.0,1,,159.25365637464708,159.0,126.0,197.0,1077988.0,10.916954086443951,59.576894666862415,58.0,19.0,141.0,403276.0,9.806884028014858,0.01609614316278005,0.462173401011277,0.028146155979127455,0.3326144041414614
ID3058,3058,1,-1.0,82.6180459136862,176.8703621075528,0.0,3585.0,239,5.0,1,,184.67159107696818,185.0,147.0,212.0,1250042.0,9.454202060891845,68.61353227951574,63.0,8.0,237.0,464445.0,24.02458539444891,0.023283418878809158,0.8889063752592898,0.08566866563977178,0.450721807036531
ID3052,3052,1,-1.0,109.27798677995132,166.63725349221872,0.0,0.0,0,5.0,1,,180.68385285862243,181.0,129.0,215.0,1223049.0,11.540422873282623,72.88373467277133,70.0,27.0,165.0,493350.0,13.651844470435362,-0.0017795236948304834,-0.05582193882596813,0.08477367161664848,0.834432362694219
ID3062,3062,1,-1.0,85.31096923351096,179.2939930953951,0.0,3585.0,239,5.0,1,,179.86644999261358,180.0,137.0,212.0,1217516.0,11.27821698269302,67.28925986113752,61.0,15.0,237.0,455481.0,24.001938053372733,0.01729786879568825,0.542355660263378,0.07104080002089169,0.3719043558653317
ID3055,3055,1,-1.0,110.62444843986371,149.9411289093052,0.0,1545.0,103,5.0,1,,169.2589747377737,169.0,142.0,196.0,1145714.0,7.577427531242871,66.5579849313063,62.0,33.0,241.0,450531.0,20.0105966716143,-0.010525640246991291,-0.4752300424159395,0.05809522410103979,0.3652462783222338
ID3073,3073,2,-1.0,112.24020243175858,180.371162423325,0.0,1935.0,129,5.0,1,,195.44629930565935,195.0,158.0,228.0,1322976.0,9.160819619709082,64.85876791254407,61.0,8.0,255.0,439029.0,19.51088902390178,-0.0026042784262729317,-0.11141483665001607,0.03177441572812745,0.2047455398949416
ID3067,3067,2,-1.0,108.73940211598637,203.53030297381792,0.0,60.0,4,5.0,1,,178.4383217609732,179.0,146.0,209.0,1207849.0,10.378963677439604,72.13118629044394,62.0,35.0,255.0,488256.0,35.02188083892944,-0.015460284055541047,-0.5399435561309361,0.0973618812176183,0.3654708059796506
ID3077,3077,2,-1.0,114.93312575158332,177.94753143548272,0.0,2040.0,136,5.0,1,,194.91357659919927,195.0,164.0,228.0,1319370.0,7.687572121079855,59.84709706012773,60.0,34.0,109.0,405105.0,6.355233987295732,4.3839960399319174E-4,0.02222095314440536,-0.02234041007146626,-0.43037299844695387
ID3070,3070,2,-1.0,110.62444843986371,187.37276305486938,0.0,1110.0,74,5.0,1,,195.8707342295755,196.0,165.0,226.0,1325849.0,9.633869930106618,73.29768060275055,64.0,34.0,255.0,496152.0,31.347851938470118,0.004900123493911939,0.19828181893195293,0.07635105986729424,0.3317214601473197
ID3085,3085,3,-1.0,137.28438930612884,227.7666128522408,0.0,3585.0,239,5.0,1,,162.84517654010978,163.0,137.0,194.0,1102299.0,8.210942946713159,60.197665829521895,57.0,13.0,206.0,407478.0,15.467400339884216,0.006653027596995085,0.2621509171087011,0.03200502534848927,0.24139523015092232
ID3082,3082,3,-1.0,156.13485254490215,200.29879499002823,0.0,1020.0,68,5.0,1,,142.7398434037518,143.0,120.0,170.0,966206.0,6.637267448544715,60.118333579554466,59.0,24.0,113.0,406941.0,7.444358364178335,-0.024159633670447662,-1.0648721270264216,0.0202839103858431,0.3210999982755131
ID3094,3094,4,-1.0,152.90334456111245,180.1018700913425,0.0,3585.0,239,5.0,1,,193.74885507460624,192.0,155.0,238.0,1311486.0,15.285652109277363,61.98892007682653,59.0,13.0,153.0,419603.0,14.349571089615761,0.006371301999293285,0.1604926383978787,0.03713209736453867,0.3093289386389292
ID3091,3091,4,-1.0,182.7947934111673,152.90334456111245,0.0,960.0,64,5.0,1,,164.60850938100327,164.0,139.0,190.0,1114235.0,6.456786589656729,60.06529768060342,59.0,31.0,111.0,406582.0,7.816803315289109,-0.013154608293840415,-0.6796645971691664,0.018912378054877464,0.28525531655145914
ID3108,3108,5,-1.0,102.27638614840694,218.34138123285413,0.0,3585.0,239,5.0,1,,149.05480868665916,149.0,124.0,174.0,1008952.0,7.151752025184915,67.475993499784,61.0,4.0,255.0,456745.0,28.70741874152699,-0.010674251987142502,-0.44974016861204985,0.07124773968850617,0.3126556719089755
ID3098,3098,5,-1.0,115.20241808356579,203.53030297381792,0.0,135.0,9,5.0,1,,184.666124981533,185.0,156.0,217.0,1250005.0,9.679157392752058,62.59181563007938,61.0,31.0,177.0,423684.0,11.963678696249348,-0.019065227853470666,-0.7416201994024886,-0.017545132328017007,-0.18686451743480162
ID3101,3101,5,-1.0,127.05128069079474,182.25620874720235,0.0,2205.0,147,5.0,1,,198.22484857438613,198.0,164.0,241.0,1341784.0,9.625767757210424,73.72329738514036,63.0,33.0,255.0,499033.0,31.048860335489533,0.0034646231515636345,0.1422023089846916,0.09968621336729547,0.43048240201958854
ID3116,3116,6,-1.0,19.872932561769286,74.80856828619439,0.0,3585.0,239,5.0,1,,124.86083616486947,125.0,92.0,154.0,845183.0,9.789064522711167,59.98434037524445,57.0,4.0,241.0,406034.0,18.255242859402106,-0.009296771615363509,-0.2393886896557897,0.039369505294074,0.24892599691587589
ID3113,3113,6,-1.0,48.956504415876694,66.19121366275516,0.0,90.0,6,5.0,1,,105.7711626532727,106.0,81.0,137.0,715965.0,6.8855097076891,64.79672034273956,60.0,34.0,255.0,438609.0,22.344902420533607,-0.009699744495474612,-0.3009224453775952,0.062185401833051115,0.33954135280964737
ID3124,3124,7,-1.0,134.05288132233912,94.46690852091514,0.0,3585.0,239,5.0,1,,160.5027330477201,161.0,132.0,190.0,1086443.0,8.231058557449018,66.65268134141506,61.0,6.0,255.0,451172.0,27.42666035560062,0.004416038934700541,0.17146520023283646,0.07367514523820286,0.3335206998732863
ID3121,3121,7,-1.0,176.8703621075528,82.6180459136862,0.0,0.0,0,5.0,1,,138.14847097060053,138.0,107.0,162.0,935127.0,7.884600855796247,62.54276850347206,59.0,34.0,255.0,423352.0,18.168561081678998,-0.009457312559664534,-0.3345730162674814,0.046176985339950335,0.3038834014047521
ID3201,3201,8,-1.0,163.94433017239396,39.531272796490036,0.0,3225.0,215,5.0,1,,123.383660806618,123.0,97.0,154.0,835184.0,8.37964642011026,54.87959816811642,55.0,28.0,87.0,371480.0,4.949342562470495,0.010742242766334724,0.3129799374158423,-5.623173365995902E-4,-0.012477258068650994
ID3198,3198,8,-1.0,223.45793554052116,26.33594852934871,0.0,60.0,4,5.0,1,,112.29191904269413,112.0,88.0,147.0,760104.0,7.430123340586553,54.42635544393151,55.0,34.0,82.0,368412.0,4.583245295557039,0.02662330384946529,0.7838506212039866,1.0438612460478324E-4,0.002478926159065807
ID3206,3206,10,-1.0,181.4483317512549,220.22642755673144,0.0,0.0,0,5.0,1,,174.84798345398107,175.0,148.0,200.0,1183546.0,7.840465432203619,57.890087162060986,57.0,35.0,103.0,391858.0,7.161327229668501,0.008300339978146425,0.3671594805729763,0.01501547109512276,0.23917015262786073
ID3213,3213,10,-1.0,170.94593080393832,216.45633490897677,0.0,3585.0,239,5.0,1,,204.48574383217806,204.0,176.0,242.0,1384164.0,9.359393031895946,59.560200915944925,57.0,2.0,166.0,403163.0,14.4470568781983,0.02699002780904523,1.1483716213004243,0.027882042217810637,0.22365987039071933
ID3230,3230,11,-1.0,39.80056512847251,120.58826472321532,0.0,3585.0,239,5.0,1,,144.76806027478224,145.0,102.0,186.0,979935.0,12.193438524886915,63.159550893786424,61.0,10.0,157.0,427527.0,14.984584696336245,0.016432286546626533,0.383880547720914,0.049622690709883774,0.3985395415393503
ID3227,3227,11,-1.0,71.3077679704222,94.73620085289762,0.0,1485.0,99,5.0,1,,159.81178903826626,160.0,132.0,189.0,1081766.0,7.9857865317048,60.628748707342744,59.0,31.0,195.0,410396.0,10.361021911208978,0.003850123659158315,0.15350655090956505,0.024209357156811506,0.27663079634223
ID3237,3237,12,-1.0,71.57706030240467,235.03750581576764,0.0,3585.0,239,5.0,1,,161.579110651501,161.0,132.0,192.0,1093729.0,8.966593884381604,62.772787708676674,57.0,6.0,255.0,424909.0,24.61320323660017,0.0016696462190811175,0.06007415265954799,0.0572974065615859,0.27642102426017456
ID3234,3234,12,-1.0,92.04327753307285,221.84218154862631,0.0,0.0,0,5.0,1,,133.6720342738961,133.0,107.0,163.0,904826.0,8.702954547836622,64.32412468607056,61.0,35.0,198.0,435410.0,15.094182603542297,-0.02479829271393852,-0.7811441177464018,0.046579616939173375,0.37933063811567214
ID3245,3245,13,-1.0,43.83995010820965,165.02149950032387,0.0,3585.0,239,5.0,1,,154.192642931007,154.0,121.0,187.0,1043730.0,8.587651203567948,58.892598611321354,57.0,0.0,126.0,398644.0,11.816370566106997,0.007964784511679293,0.28375787454097673,0.01866796690126101,0.1826715794968217
ID3242,3242,13,-1.0,67.53767532266754,162.05928384851663,0.0,0.0,0,5.0,1,,154.97074900280305,155.0,132.0,184.0,1048997.0,6.299792300022843,61.67277293544201,61.0,29.0,136.0,417463.0,9.12361094103804,0.0032353668513708618,0.15866246385414004,0.01765746628239915,0.2345759459518976
ID3253,3253,14,-1.0,178.21682376746517,168.52229981609605,0.0,3585.0,239,5.0,1,,151.22676909440176,152.0,111.0,188.0,1023654.0,9.627602879762696,62.653715467577975,59.0,2.0,255.0,424103.0,20.465982230106366,-0.009519894689759766,-0.3019443369098114,0.04678369084578316,0.27364137680774814
ID3250,3250,14,-1.0,207.83898028553756,135.3993429822515,0.0,1935.0,129,5.0,1,,143.70468311419648,144.0,118.0,173.0,972737.0,8.181729681609657,57.40257054217605,57.0,23.0,120.0,388558.0,7.364797860664844,-0.025559839920213184,-0.9214223567766998,0.014772997835549438,0.22693434941916057
ID3261,3261,15,-1.0,116.01029507951323,86.65743089342334,0.0,3585.0,239,5.0,1,,157.89023489437136,158.0,120.0,198.0,1068759.0,10.331012697884342,61.542620771168245,59.0,4.0,164.0,416582.0,14.28703533041181,0.011494304464279455,0.3473454594957752,0.016352982172389664,0.13861692517871052
ID3258,3258,15,-1.0,159.63565286067433,79.38653792989649,0.0,0.0,0,5.0,1,,161.54557541734218,162.0,130.0,197.0,1093502.0,10.81564424611824,61.1669375092342,60.0,23.0,122.0,414039.0,8.83215702570663,0.0017682945212288582,0.0527302691926304,0.02771836169473498,0.37357120431690327
