Label,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,LONGEST_GAP,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_INDEX,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TRACK_MAX_QUALITY,TRACK_MIN_QUALITY,TRACK_MEDIAN_QUALITY,TRACK_STD_QUALITY
Track_0,0,4,3,31,1,0,0,915,945,1860,1.804,0,62.960,101.396,0,0.002,0.003,0.001,0.002,9.997E-4,-1,-1,-1,-1,0
Track_1,1,4,3,20,1,0,0,585,1500,2085,2.047,1,87.429,106.975,0,0.005,0.008,0.002,0.005,0.003,-1,-1,-1,-1,0
Track_2,2,4,3,108,1,0,0,2010,1260,3270,2.954,2,81.339,84.110,0,0.007,0.009,0.001,0.009,0.005,-1,-1,-1,-1,0
Track_3,3,4,3,127,1,0,0,2460,1125,3585,3.278,3,67.409,89.763,0,0.001,0.002,0.001,0.001,3.327E-4,-1,-1,-1,-1,0
Track_4,4,8,7,85,3,0,0,2490,1005,3495,7.205,4,71.438,96.035,0,0.004,0.006,0.003,0.004,0.001,-1,-1,-1,-1,0
Track_5,5,4,3,172,1,0,0,2685,900,3585,2.475,5,53.843,101.943,0,0.003,0.007,3.294E-4,9.833E-4,0.004,-1,-1,-1,-1,0
Track_6,6,2,1,45,0,0,0,690,1755,2445,3.063,6,93.701,108.215,0,0.004,0.004,0.004,0.004,NaN,-1,-1,-1,-1,0
Track_7,7,2,1,92,0,0,0,1395,2190,3585,5.612,7,93.774,101.067,0,0.004,0.004,0.004,0.004,NaN,-1,-1,-1,-1,0
Track_8,8,4,3,32,1,0,0,900,1140,2040,6.767,8,56.833,135.966,0,0.011,0.017,0.007,0.008,0.005,-1,-1,-1,-1,0
Track_9,9,4,3,61,1,0,0,1275,720,1995,2.768,9,95.853,60.261,0,0.003,0.004,0.002,0.002,0.001,-1,-1,-1,-1,0
Track_10,10,4,3,147,1,0,0,2430,1155,3585,4.529,10,103.766,58.693,0,0.002,0.003,9.292E-4,0.002,9.675E-4,-1,-1,-1,-1,0
Track_11,11,4,3,66,1,0,0,1440,2010,3450,4.436,11,80.464,43.122,0,0.005,0.006,0.002,0.006,0.002,-1,-1,-1,-1,0
Track_12,12,2,1,34,0,0,0,525,1650,2175,2.975,12,94.066,54.828,0,0.006,0.006,0.006,0.006,NaN,-1,-1,-1,-1,0
Track_13,13,4,3,80,1,0,0,1365,225,1590,4.110,13,123.203,125.062,0,0.006,0.013,0.001,0.002,0.006,-1,-1,-1,-1,0
Track_14,14,4,3,68,1,0,0,1350,1215,2565,4.524,14,116.566,135.674,0,0.004,0.004,0.003,0.003,5.724E-4,-1,-1,-1,-1,0
Track_15,15,4,3,189,1,0,0,3315,270,3585,2.932,15,179.325,117.988,0,0.003,0.008,5.370E-4,0.001,0.004,-1,-1,-1,-1,0
Track_16,16,4,2,63,1,0,0,975,990,1965,5.036,16,161.930,106.647,0,0.024,0.062,0.004,0.007,0.032,-1,-1,-1,-1,0
Track_17,17,2,1,94,0,0,0,1425,195,1620,4.550,17,230.943,129.530,0,0.003,0.003,0.003,0.003,NaN,-1,-1,-1,-1,0
Track_18,18,4,3,61,1,0,0,1605,105,1710,7.098,18,224.790,140.005,0,0.005,0.007,0.003,0.006,0.002,-1,-1,-1,-1,0
Track_19,19,4,3,47,1,0,0,810,540,1350,1.972,19,205.399,82.706,0,0.004,0.004,0.003,0.004,5.223E-4,-1,-1,-1,-1,0
Track_20,20,4,3,74,1,0,0,1365,675,2040,4.485,20,175.669,83.500,0,0.005,0.013,0.001,0.002,0.006,-1,-1,-1,-1,0
Track_21,21,2,1,12,0,0,0,195,2010,2205,1.099,21,163.444,89.763,0,0.006,0.006,0.006,0.006,NaN,-1,-1,-1,-1,0
Track_22,22,2,1,35,0,0,0,540,1440,1980,2.124,22,173.946,150.480,0,0.004,0.004,0.004,0.004,NaN,-1,-1,-1,-1,0
Track_23,23,2,1,15,0,0,0,240,1485,1725,1.317,23,174.274,153.543,0,0.005,0.005,0.005,0.005,NaN,-1,-1,-1,-1,0
Track_24,24,2,1,112,0,0,0,1695,300,1995,3.460,24,178.924,151.355,0,0.002,0.002,0.002,0.002,NaN,-1,-1,-1,-1,0
Track_25,25,4,3,95,1,0,0,2115,0,2115,8.310,25,208.270,142.384,0,0.004,0.005,0.002,0.004,0.002,-1,-1,-1,-1,0
Track_26,26,2,1,76,0,0,0,1155,1845,3000,1.524,26,173.727,130.624,0,0.001,0.001,0.001,0.001,NaN,-1,-1,-1,-1,0
Track_27,27,4,3,73,1,0,0,1515,885,2400,4.289,27,90.474,173.864,0,0.005,0.006,0.002,0.006,0.003,-1,-1,-1,-1,0
Track_28,28,2,1,61,0,0,0,930,1440,2370,5.606,28,88.723,174.055,0,0.006,0.006,0.006,0.006,NaN,-1,-1,-1,-1,0
Track_29,29,4,3,137,1,0,0,3465,120,3585,5.405,29,123.184,159.122,0,0.003,0.003,0.002,0.002,8.158E-4,-1,-1,-1,-1,0
Track_30,30,4,3,109,1,0,0,2805,360,3165,2.357,30,109.263,157.263,0,0.002,0.003,0.001,0.002,8.179E-4,-1,-1,-1,-1,0
Track_31,31,4,3,84,1,0,0,1545,1185,2730,9.658,31,63.753,160.052,0,0.004,0.007,0.002,0.003,0.003,-1,-1,-1,-1,0
Track_32,32,4,3,82,1,0,0,2430,855,3285,5.519,32,177.119,134.726,0,0.003,0.004,0.001,0.004,0.002,-1,-1,-1,-1,0
Track_33,33,2,1,133,0,0,0,2010,1020,3030,7.687,33,178.267,144.299,0,0.004,0.004,0.004,0.004,NaN,-1,-1,-1,-1,0
Track_34,34,4,3,98,1,0,0,1725,1860,3585,4.310,34,168.421,136.012,0,0.003,0.005,0.002,0.002,0.002,-1,-1,-1,-1,0
Track_35,35,4,3,132,1,0,0,2520,1065,3585,9.588,35,163.608,136.805,0,0.005,0.009,0.002,0.003,0.004,-1,-1,-1,-1,0
Track_36,36,4,3,105,1,0,0,2250,1335,3585,1.460,36,191.286,165.358,0,0.002,0.005,9.583E-4,0.001,0.002,-1,-1,-1,-1,0
Track_37,37,4,3,92,1,0,0,2265,165,2430,4.226,37,182.999,139.704,0,0.003,0.004,0.001,0.003,0.002,-1,-1,-1,-1,0
Track_38,38,2,1,145,0,0,0,2190,1395,3585,4.785,38,182.643,132.593,0,0.002,0.002,0.002,0.002,NaN,-1,-1,-1,-1,0
